dgp,Ts,beta,lam,score,coverage,width
scale,20,search,0.0,9.561421999984995,0.8775952499999994,5.551980731633232
scale,20,search,0.1,9.51100964261556,0.8859254999999996,5.701484970282099
scale,20,search,0.2,9.535732715832294,0.8898823749999998,5.826269241266776
scale,20,search,0.3,9.63375474437558,0.8894702499999998,5.925105960291029
scale,20,search,0.4,9.685720610057034,0.889725,5.990023726680102
scale,20,search,0.5,9.735680809176957,0.8883247500000001,6.013990930783837
scale,20,search,0.6,9.806066501635474,0.8851041250000002,6.0138100634283065
scale,20,search,0.7,9.877825979666987,0.8801399999999996,5.973791479210488
scale,20,search,0.8,9.99968606773208,0.8698147500000003,5.857212950587474
scale,20,search,0.9,10.10260133471066,0.8549429999999995,5.612165162847316
scale,20,search,1.0,10.274147526035039,0.8273834999999997,5.129145827721414
scale,20,fixed,0.0,9.542213487478877,0.8842923749999996,5.697364215548786
scale,20,fixed,0.1,9.519173814590912,0.890220249999999,5.816165394948224
scale,20,fixed,0.2,9.570759896236126,0.8928199999999998,5.934966574347672
scale,20,fixed,0.3,9.664529430910902,0.8935211249999998,6.053767753747114
scale,20,fixed,0.4,9.789143122444907,0.8928971250000002,6.172568933146558
scale,20,fixed,0.5,9.939747690405653,0.891154375,6.291370112546003
scale,20,fixed,0.6,10.114309251756179,0.8884072499999996,6.410171291945443
scale,20,fixed,0.7,10.312511817453977,0.8845551249999993,6.528972471344887
scale,20,fixed,0.8,10.535572386622391,0.8796106249999994,6.64777365074433
scale,20,fixed,0.9,10.785616206975659,0.8734364999999992,6.766574830143776
scale,20,fixed,1.0,11.065879532515194,0.8658286249999998,6.885376009543213
scale,50,search,0.0,9.193003066338349,0.8919644999999998,5.483433426104513
scale,50,search,0.1,9.177124515615173,0.89458425,5.530677773325166
scale,50,search,0.2,9.171713365605232,0.8953693749999996,5.543979041622166
scale,50,search,0.3,9.169218467519542,0.8953082499999997,5.540107838945966
scale,50,search,0.4,9.176908109936665,0.8943643749999997,5.525518049696449
scale,50,search,0.5,9.19885342436357,0.892353,5.501013505062509
