T,method,season,coverage_mean,coverage_se,width_mean
240,EnbPI-N-C,12,0.879,0.008734700910735296,5.271776505068018
240,EnbPI-N-C,0,0.8789999999999999,0.0021335286368934555,5.248431594891031
240,EnbPI-S-C,1,0.8504999999999999,0.007483231253943713,5.306502549264374
240,EnbPI-S-C,2,0.805,0.009076067430335675,4.343344726479851
240,EnbPI-S-C,3,0.805,0.008507349763586778,4.355460954629552
240,EnbPI-S-C,4,0.805,0.008299096336348916,4.467779650431032
240,EnbPI-S-C,5,0.8295000000000001,0.008360547230893443,4.596484853229661
240,EnbPI-S-C,6,0.8030000000000002,0.008885662608944817,4.429974260288553
240,EnbPI-S-C,7,0.8055000000000001,0.00863705679036557,4.360986020805495
240,EnbPI-S-C,8,0.8045,0.009281635093021058,4.282351861249001
240,EnbPI-S-C,9,0.8234999999999999,0.008455102010029213,4.497287647787865
240,EnbPI-S-C,10,0.8085,0.00850815784996964,4.378130588318646
240,EnbPI-S-C,11,0.7959999999999999,0.009482615672903759,4.376608852786214
240,EnbPI-S-C,12,0.7959999999999999,0.008827230596285564,4.239120160844019
240,EnbPI-S-C,0,0.8109999999999999,0.0027072177189464788,4.469502677176189
