dgp,Ts,family,lam,rule,score,coverage,width
scale,20,plain,0.0,,9.624213116263135,0.8604527500000001,5.200179140864527
scale,20,plain,0.1,,9.573185844004614,0.8605564999999998,5.144572186308218
scale,20,plain,0.2,,9.540778267456357,0.8594503750000001,5.080645036128599
scale,20,plain,0.3,,9.534971058833472,0.856882875,5.010875855384668
scale,20,plain,0.4,,9.538287934602632,0.8536611249999998,4.934764313191216
scale,20,plain,0.5,,9.573444660592033,0.848657,4.852405716161426
scale,20,plain,0.6,,9.62293861756194,0.8425905000000006,4.7605089589861596
scale,20,plain,0.7,,9.695111493109264,0.8350881249999993,4.65810131862887
scale,20,plain,0.8,,9.812204890935194,0.8248859999999996,4.543344896504121
scale,20,plain,0.9,,9.966440558970561,0.8120428750000005,4.406822983297357
scale,20,plain,1.0,,10.264757916169778,0.78891575,4.1826690534943145
scale,20,corrected,0.0,,9.613148059248891,0.8669732500000004,5.34716947903074
scale,20,corrected,0.1,,9.532460777101718,0.87382425,5.426968580420166
scale,20,corrected,0.2,,9.519373114022128,0.8767545000000002,5.483376699277203
scale,20,corrected,0.3,,9.538853947848564,0.877717625,5.5303994605621805
scale,20,corrected,0.4,,9.56531135758945,0.8779510000000005,5.56670748078762
scale,20,corrected,0.5,,9.62686887759063,0.875864375,5.585581374173074
scale,20,corrected,0.6,,9.687535819264918,0.8730662499999999,5.585807508128094
scale,20,corrected,0.7,,9.816194372821629,0.8656820000000003,5.551896893970113
scale,20,corrected,0.8,,9.895615914659622,0.857521875,5.4430829404945715
scale,20,corrected,0.9,,10.03633179502686,0.8413542499999996,5.209110497336956
scale,20,corrected,1.0,,10.29579559573878,0.8104461250000001,4.748657298894428
scale,20,corrected,0.326,cv_score,9.603365796283374,0.8614026250000001,5.20563256549519
scale,20,corrected,0.5225,cv_cov,9.811845887354677,0.86524825,5.537066682361243
scale,35,plain,0.0,,9.253628338631643,0.8857789999999996,5.399304943754779
scale,35,plain,0.1,,9.228269237208307,0.885366375,5.3599266177064075
scale,35,plain,0.2,,9.214638832648848,0.8840929999999997,5.313382148442748
scale,35,plain,0.3,,9.207418548123602,0.8822525,5.259145754512193
scale,35,plain,0.4,,9.211690090669778,0.8795742499999997,5.198520777653844
scale,35,plain,0.5,,9.228388943960677,0.8761296250000002,5.131177008706173
scale,35,plain,0.6,,9.260461247693055,0.871597,5.055181543990738
scale,35,plain,0.7,,9.309032291372931,0.8659108749999996,4.971117398568731
scale,35,plain,0.8,,9.377366611932583,0.8589337499999999,4.876964073050085
scale,35,plain,0.9,,9.458017535611669,0.8507778749999997,4.7685774405628605
scale,35,plain,1.0,,9.584608963882193,0.8390001249999999,4.6260816583403725
scale,35,corrected,0.0,,9.254431933159827,0.89008825,5.507896433646989
scale,35,corrected,0.1,,9.237063630164315,0.8958345,5.630276342247481
scale,35,corrected,0.2,,9.242905255747615,0.8978537499999992,5.687265139711775
scale,35,corrected,0.3,,9.254002424681854,0.8986841250000001,5.721343466650265
scale,35,corrected,0.4,,9.284087318161731,0.8982293749999999,5.743730179765923
scale,35,corrected,0.5,,9.321033748555873,0.8968098750000002,5.7522816731827575
scale,35,corrected,0.6,,9.382451651325612,0.8936790000000002,5.745529919501799
scale,35,corrected,0.7,,9.454269428711989,0.8892238750000006,5.717100343733884
scale,35,corrected,0.8,,9.503279263806805,0.885046125,5.6700943723139465
scale,35,corrected,0.9,,9.553984915808254,0.8801457499999998,5.606388975717305
scale,35,corrected,1.0,,9.60729978129475,0.8743488749999987,5.524202748532984
scale,35,corrected,0.3735,cv_score,9.286915678207674,0.8837229999999999,5.3892576827266065
scale,35,corrected,0.4545,cv_cov,9.389785558980341,0.898339125,5.865917058416602
scale,50,plain,0.0,,9.240588796248005,0.8865573749999999,5.40483069773038
scale,50,plain,0.1,,9.213622063535109,0.8867487500000001,5.37818415435571
scale,50,plain,0.2,,9.195909117786195,0.8861335000000001,5.341363235612666
scale,50,plain,0.3,,9.193727620181619,0.8844666250000001,5.296974386182186
scale,50,plain,0.4,,9.196887449040789,0.8823485000000001,5.248048033211136
scale,50,plain,0.5,,9.207597489732022,0.8796853750000001,5.194483119329103
scale,50,plain,0.6,,9.230463391168332,0.8761750000000004,5.134222395954086
scale,50,plain,0.7,,9.26799921311407,0.8717745000000001,5.06893099891904
scale,50,plain,0.8,,9.31569464974767,0.8666177500000002,4.9957711995405685
scale,50,plain,0.9,,9.366730500044548,0.8608152500000005,4.91298720675594
scale,50,plain,1.0,,9.454973857643884,0.8521740000000002,4.802424614867035
