date,season,month_name,covered_p,lo_p,hi_p,width_p,covered_s,lo_s,hi_s,width_s
2015-01-01,1,Jan,False,0.14614065794018177,0.9669028107330954,0.8207621527929136,False,0.2814532535034566,0.9617102607877779,0.6802570072843213
2015-02-01,2,Feb,True,0.5603130003455612,1.3810751531384748,0.8207621527929136,True,0.8391199122878321,1.4004115211031842,0.5612916088153521
2015-03-01,3,Mar,True,0.528471561735143,1.3493184794806097,0.8208469177454667,False,0.7352936157494483,1.3148915580704088,0.5795979423209605
2015-04-01,4,Apr,True,0.45530475306273716,1.2627025109950116,0.8073977579322744,True,0.5671956429577849,1.247935270286475,0.6807396273286901
2015-05-01,5,May,True,0.1423444908927724,0.949742248825047,0.8073977579322746,True,0.3317818524134021,0.9270584280817649,0.5952765756683628
2015-06-01,6,Jun,True,0.25317775640022006,1.040276688811784,0.787098932411564,True,0.11014344421245992,0.9032332818781703,0.7930898376657104
2015-07-01,7,Jul,True,0.07204239920256467,0.8591413316141288,0.787098932411564,True,0.09090611617434108,1.1591208902752292,1.068214774100888
2015-08-01,8,Aug,True,0.06684825444164699,0.853947186853211,0.787098932411564,True,0.15136615501428297,0.7002324217066369,0.5488662666923539
2015-09-01,9,Sep,True,-0.06277133304978116,0.7243275993617828,0.787098932411564,True,-0.02961472818359151,0.7788986500677039,0.8085133782512954
2015-10-01,10,Oct,True,0.12231620985267205,0.909415142264236,0.787098932411564,True,0.3190003721168763,1.3597453518933653,1.040744979776489
2015-11-01,11,Nov,True,0.28705548481007376,1.0741544172216377,0.787098932411564,False,0.39010144069352537,0.9313983615850514,0.541296920891526
2015-12-01,12,Dec,True,0.4717535406631865,1.2588524730747506,0.787098932411564,True,0.727647544535092,1.1929618107702837,0.4653142662351918
2016-01-01,1,Jan,False,0.3981148684657471,1.1724637055314306,0.7743488370656835,False,0.49142392249212474,1.1737664097061313,0.6823424872140066
2016-02-01,2,Feb,True,0.6533659036865862,1.42771474075227,0.7743488370656837,True,0.89016927409196,1.4514608829073121,0.5612916088153521
2016-03-01,3,Mar,True,0.3918791315821219,1.178978063993686,0.787098932411564,False,0.6182503087231708,1.1430333309379415,0.5247830222147707
2016-04-01,4,Apr,True,-0.10958156518325568,0.6775173672283084,0.787098932411564,False,-0.07762213263924916,0.5284778207820833,0.6060999534213325
2016-05-01,5,May,True,0.10228856080684862,0.8893874932184127,0.787098932411564,False,0.16698729333968693,0.6934405695372248,0.5264532761975378
2016-06-01,6,Jun,True,0.24142596068537875,1.0285248930969428,0.787098932411564,True,0.11552554732878906,0.870450582134984,0.754925034806195
2016-07-01,7,Jul,True,-0.09076593113725517,0.6963330012743089,0.787098932411564,True,-0.07190221416547876,0.9963125599354095,1.0682147741008883
2016-08-01,8,Aug,True,0.022293074569043836,0.8093920069806079,0.787098932411564,True,0.14106066151906166,0.6556772418340338,0.514616580314972
2016-09-01,9,Sep,True,0.06324939702058702,0.850348329432151,0.787098932411564,False,0.09640600188677667,0.904919380138072,0.8085133782512954
2016-10-01,10,Oct,True,-0.05744055604302434,0.7296583763685397,0.787098932411564,True,0.13924360622117993,1.179988585997669,1.0407449797764892
2016-11-01,11,Nov,True,-0.021061503685533667,0.7660374287260303,0.787098932411564,True,0.08198445219791795,0.7012592037964333,0.6192747515985153
2016-12-01,12,Dec,True,-0.20893786812426932,0.5781610642872947,0.787098932411564,True,0.04695613574763613,0.512270401982828,0.4653142662351919
2017-01-01,1,Jan,True,0.12203983804375723,0.9091387704553213,0.787098932411564,True,0.21720413886191425,1.04977141706639,0.8325672782044758
2017-02-01,2,Feb,True,-0.005716879037113987,0.78138205337445,0.787098932411564,True,0.24242720857000563,0.6893313227310034,0.44690411416099773
2017-03-01,3,Mar,True,-0.1816949889393341,0.6054039434722299,0.787098932411564,True,-0.015247173834066319,0.5694592104164855,0.5847063842505518
2017-04-01,4,Apr,True,0.04823718165738261,0.8353361140689466,0.787098932411564,False,0.20810125652334427,0.8145972875199671,0.6064960309966227
2017-05-01,5,May,True,-0.11004280904330932,0.6770561233682547,0.787098932411564,True,0.06546516055656415,0.5767892550512866,0.5113240944947225
2017-06-01,6,Jun,False,-0.14466154789356894,0.6296308590240314,0.7742924069176003,True,-0.27233245897865455,0.48259257582754045,0.754925034806195
2017-07-01,7,Jul,True,-0.35625897551396973,0.41803343140363064,0.7742924069176004,True,-0.2936464624835766,0.729049017830199,1.0226954803137756
2017-08-01,8,Aug,True,-0.0636187121101251,0.7106736948074752,0.7742924069176003,True,0.05337837711139681,0.567994957426369,0.5146165803149721
2017-09-01,9,Sep,True,-0.20584101833796462,0.5684513885796357,0.7742924069176004,True,-0.2592939385629486,0.5652858540437852,0.8245797926067338
2017-10-01,10,Oct,True,-0.10496402053561826,0.6693283863819821,0.7742924069176004,True,0.09259890104115395,1.1306946237765791,1.0380957227354253
2017-11-01,11,Nov,True,0.06048954193806616,0.8347819488556665,0.7742924069176003,True,0.16176500009302186,0.7810397516915372,0.6192747515985153
2017-12-01,12,Dec,True,-0.0910109468805389,0.6832814600370615,0.7742924069176004,True,0.16311255926287063,0.6284268254980625,0.4653142662351919
2018-01-01,1,Jan,True,0.11772670079886244,0.8920191077164628,0.7742924069176003,True,0.21112050388852355,1.0436877820929995,0.832567278204476
2018-02-01,2,Feb,True,-0.05965103959937795,0.7075569080018648,0.7672079476012428,True,0.18672255027924575,0.6336266644402435,0.44690411416099773
2018-03-01,3,Mar,True,-0.14215214333884152,0.6250558042624013,0.7672079476012428,True,0.022525174037930362,0.6072315582884822,0.5847063842505518
2018-04-01,4,Apr,True,-0.13339210737673007,0.6338158402245126,0.7672079476012428,True,-0.04345959014840717,0.5937278896732162,0.6371874798216234
2018-05-01,5,May,True,-0.10679392680023209,0.6604140208010106,0.7672079476012428,True,0.002412623182909912,0.4825875842016482,0.4801749610187383
2018-06-01,6,Jun,False,-0.1116030060233047,0.655604941577938,0.7672079476012428,False,-0.20877526333389096,0.5156511176978047,0.7244263810316957
2018-07-01,7,Jul,False,0.7020534160200242,1.4576455419539553,0.7555921259339311,False,0.7402259318103231,1.7629214121240988,1.0226954803137756
2018-08-01,8,Aug,True,-0.16443980265446212,0.6027681449467805,0.7672079476012427,False,-0.01812392623378495,0.45166117298431596,0.4697850992181009
2018-09-01,9,Sep,True,-0.22593431611980222,0.5484145209458814,0.7743488370656836,True,-0.2794719854080696,0.5451078071986641,0.8245797926067338
2018-10-01,10,Oct,True,0.17869717506633492,0.9459256023772059,0.7672284273108709,True,0.3761753475798236,1.414271070315249,1.0380957227354255
2018-11-01,11,Nov,False,-0.0751929792396594,0.6920354480712116,0.767228427310871,False,0.07502760720610074,0.6452724814505282,0.5702448742444275
2018-12-01,12,Dec,True,-0.41889722568194077,0.3483312016289302,0.7672284273108709,True,-0.14497988966005576,0.3004557976333772,0.44543568729343297
2019-01-01,1,Jan,True,-0.15914051748367852,0.615264749730088,0.7744052672137666,True,-0.06591621252058438,0.7666510656838914,0.8325672782044757
2019-02-01,2,Feb,True,-0.014617106206200714,0.7526113211046703,0.767228427310871,True,0.2696618169196462,0.6525140474909444,0.38285223057129825
2019-03-01,3,Mar,True,0.14800122971451274,0.9152296570253837,0.7672284273108709,True,0.31259379802800114,0.8973001822785529,0.5847063842505518
2019-04-01,4,Apr,True,0.11209469546156287,0.8793231227724339,0.7672284273108709,True,0.31092108998053414,0.8765995545323679,0.5656784645518338
2019-05-01,5,May,True,0.08142155436955084,0.8486499816804218,0.7672284273108709,False,0.19054335528940936,0.6707183163081476,0.48017496101873824
2019-06-01,6,Jun,False,0.19039333244325002,0.957621759754121,0.7672284273108709,False,0.045503773463710484,0.838593611129421,0.7930898376657105
2019-07-01,7,Jul,True,-0.36028424365772926,0.39520545738253055,0.7554897010402598,True,-0.3210619061610398,0.7194484133358963,1.040510319496936
2019-08-01,8,Aug,True,-0.33415479652632313,0.43309411049417584,0.767248907020499,True,-0.20241631280099903,0.29728937488360396,0.499705687684603
2019-09-01,9,Sep,False,-0.02688965737937843,0.7286000436608814,0.7554897010402598,True,-0.10332252720625568,0.7212572654004781,0.8245797926067338
2019-10-01,10,Oct,True,-0.2627799354494402,0.48140179211715506,0.7441817275665953,True,-0.09481280433515948,0.672523761424703,0.7673365657598625
2019-11-01,11,Nov,False,-0.2872374093226411,0.46587981632337827,0.7531172256460194,False,-0.3439435256696327,0.43331280043082987,0.7772563261004626
2019-12-01,12,Dec,False,0.2291987090470639,0.9823159346930832,0.7531172256460192,False,0.5032007941322324,0.9486364814256654,0.44543568729343297
