T,method,season,coverage_mean,coverage_se,width_mean
240,EnbPI-S-C,4,0.82,0.008544003745317531,3.0301480930599123
240,EnbPI-S-C,5,0.8015000000000001,0.008845267096023726,2.9325817496443523
240,EnbPI-S-C,6,0.7935,0.008974338415727368,3.006293825481078
240,EnbPI-S-C,7,0.809,0.008282209850033988,2.991940903901388
240,EnbPI-S-C,8,0.8480000000000001,0.008424962907930218,2.2507430648985194
240,EnbPI-S-C,9,0.8440000000000001,0.008962142600963232,2.364900749502037
240,EnbPI-S-C,10,0.8145000000000002,0.00852635619711023,2.980185191465324
240,EnbPI-S-C,11,0.7959999999999999,0.009456214887575263,3.028222577693998
240,EnbPI-S-C,12,0.8020000000000002,0.008335466393669883,3.0015293407265586
240,EnbPI-S-C,0,0.816125,0.0030923727293491353,2.8565701867775135
480,Pooled,1,0.9425,0.00512042478706601,3.055383256445915
480,Pooled,2,0.9560000000000001,0.004451965857910412,3.057254332899882
480,Pooled,3,0.8645,0.007031980517606686,3.0553962518518123
480,Pooled,4,0.8680000000000001,0.007770456872024965,3.053088793346542
480,Pooled,5,0.8615,0.007405319034315807,3.053211726656279
480,Pooled,6,0.8540000000000001,0.007376991256603196,3.053162671547035
480,Pooled,7,0.851,0.007968374991176056,3.053180728947701
480,Pooled,8,0.9430000000000001,0.004975439679063549,3.0551686655440085
480,Pooled,9,0.9425,0.00492125492125738,3.0570257552348847
480,Pooled,10,0.879,0.007700324668479894,3.0549388445850627
480,Pooled,11,0.8575,0.008013660212412304,3.053115861255303
480,Pooled,12,0.8575,0.008075812652606549,3.052713009750863
480,Pooled,0,0.8897499999999999,0.002255171525873611,3.0544699915054405
480,EnbPI-N,1,0.8370000000000001,0.009468632425012601,1.7251052965759999
480,EnbPI-N,2,0.8525,0.010122684920513924,1.6786053580484832
480,EnbPI-N,3,0.9125,0.00681679910221799,3.6340122765319274
480,EnbPI-N,4,0.9095000000000002,0.007732965149281355,3.73502559766956
480,EnbPI-N,5,0.9075,0.007277963314004818,3.6344046763346802
480,EnbPI-N,6,0.914,0.006520736154760443,3.688792254142245
480,EnbPI-N,7,0.9055000000000001,0.00762225360375788,3.6619303913170644
480,EnbPI-N,8,0.8315,0.00947569258682446,1.7158194628567747
480,EnbPI-N,9,0.8435000000000001,0.009126267035321725,1.7499392694289042
480,EnbPI-N,10,0.9229999999999999,0.0069177308418295665,3.6720904473766973
480,EnbPI-N,11,0.904,0.008210968274204937,3.6838968075079053
480,EnbPI-N,12,0.9035,0.007529193183867711,3.6523393861307487
480,EnbPI-N,0,0.8869999999999999,0.0021871150454930858,3.019330101993416
480,EnbPI-S,1,0.8605000000000002,0.007479889705069185,1.82344083286391
480,EnbPI-S,2,0.8595000000000002,0.007940324300681931,1.7210647078437133
480,EnbPI-S,3,0.8344999999999999,0.007334763118192707,2.946713733838193
480,EnbPI-S,4,0.8390000000000001,0.008270126963958898,2.964476403790778
480,EnbPI-S,5,0.8284999999999999,0.008466920927940687,2.912016512652532
480,EnbPI-S,6,0.8275,0.007808248843370708,2.9653006446869905
480,EnbPI-S,7,0.8340000000000001,0.008439194274336858,2.944172351083182
480,EnbPI-S,8,0.8610000000000001,0.007771422006299748,1.8445121052989497
480,EnbPI-S,9,0.8445,0.00835755646107162,1.8298445662730927
480,EnbPI-S,10,0.8460000000000001,0.007932212806020777,2.9385230087062264
480,EnbPI-S,11,0.8345,0.008590619884501934,2.9884996890322237
480,EnbPI-S,12,0.8325,0.007998046636523195,2.9483811635627966
480,EnbPI-S,0,0.8418333333333333,0.002700925767213901,2.5689121433027164
480,Pooled-C,1,0.9440000000000001,0.005031898250163648,3.095418786274573
480,Pooled-C,2,0.9570000000000002,0.0044446597170087155,3.0973602211707227
480,Pooled-C,3,0.8690000000000001,0.0069781802785540015,3.0955964101081643
480,Pooled-C,4,0.872,0.007718808198161164,3.0936017724685048
480,Pooled-C,5,0.8660000000000001,0.007329392880723477,3.0934512032384736
480,Pooled-C,6,0.8595000000000002,0.007317701141752102,3.0933859929160668
480,Pooled-C,7,0.856,0.007798717843338096,3.0932257687948352
480,Pooled-C,8,0.9440000000000001,0.004829078587059853,3.095152746976113
480,Pooled-C,9,0.9430000000000001,0.0049249365478146005,3.097014941117479
480,Pooled-C,10,0.8815000000000001,0.007552400280705466,3.0949599205088942
480,Pooled-C,11,0.8660000000000001,0.007856207736560941,3.0932384546808875
480,Pooled-C,12,0.862,0.008017480901130978,3.092545745046037
480,Pooled-C,0,0.8933333333333333,0.002158638974498103,3.094579330275063
480,EnbPI-N-C,1,0.8395,0.00951045477356367,1.7477006893878158
480,EnbPI-N-C,2,0.8540000000000001,0.009970957827611147,1.7007012165499582
480,EnbPI-N-C,3,0.916,0.006612110101926615,3.681714280442785
480,EnbPI-N-C,4,0.9135000000000001,0.0076051791563381335,3.7844769477996856
480,EnbPI-N-C,5,0.909,0.007286631594914071,3.6819192948026025
480,EnbPI-N-C,6,0.9170000000000001,0.006289276587970988,3.7370903096922654
480,EnbPI-N-C,7,0.905,0.007640353394968062,3.7098437353028477
480,EnbPI-N-C,8,0.8345,0.009449801585218602,1.7380904296897466
480,EnbPI-N-C,9,0.8485,0.008802769450576335,1.7726944984207131
480,EnbPI-N-C,10,0.9255,0.006557343212002861,3.719853807828632
480,EnbPI-N-C,11,0.9060000000000001,0.00832586331859946,3.731890385792707
480,EnbPI-N-C,12,0.9080000000000001,0.0072235725233432795,3.7002496912545495
480,EnbPI-N-C,0,0.8897083333333333,0.0021465229474405554,3.058852107247026
480,EnbPI-S-C,1,0.897,0.006554006408297141,2.4026310322844298
480,EnbPI-S-C,2,0.8795000000000002,0.00749324695976317,1.9454320757321373
480,EnbPI-S-C,3,0.8495000000000001,0.0074497483178963845,3.095020550968136
480,EnbPI-S-C,4,0.8560000000000002,0.008112952606788728,3.1294116526324944
480,EnbPI-S-C,5,0.8384999999999999,0.008446226968297738,3.0544291552720853
480,EnbPI-S-C,6,0.8430000000000001,0.007730135833217938,3.1165259300820787
480,EnbPI-S-C,7,0.847,0.008059466483583142,3.09677851129097
480,EnbPI-S-C,8,0.8805000000000001,0.007768445790504043,2.103372575808054
480,EnbPI-S-C,9,0.8680000000000001,0.007673330437300352,2.080562279960423
480,EnbPI-S-C,10,0.8595000000000002,0.008279417250024304,3.0945218097934686
480,EnbPI-S-C,11,0.8495,0.008246135458504182,3.154949794718764
480,EnbPI-S-C,12,0.8475000000000001,0.007935285124051939,3.1111880850561033
480,EnbPI-S-C,0,0.8596250000000001,0.00258003653882395,2.7820686211332624
