application,method,coverage,worst,spread,width,width_ratio,score,argmax_month,argmin_month
food,pool,0.8583333333333333,0.7,0.30000000000000004,1.8170998901640456,1.009640674220796,3.221744406327422,Mar,Nov
food,norm,0.8666666666666667,0.7,0.30000000000000004,1.9684949232390452,2.280138708884642,3.3197170201455912,Jun,Feb
food,strat,0.7916666666666666,0.6,0.30000000000000004,1.4408743499983132,1.7811020819842596,3.5195926653135756,Jun,Feb
food,pool_f,0.8583333333333333,0.7,0.30000000000000004,1.9657352594696542,1.0109387309514615,3.123922521141829,Feb,Oct
food,norm_f,0.875,0.7,0.30000000000000004,2.1381242453233273,2.267914881844619,3.290227963835925,Jun,Feb
food,strat_f,0.9,0.9,0.0,2.2637737505807007,2.546638763593596,3.2299084700720195,Nov,Apr
food,hyb_cv,0.8833333333333333,0.8,0.19999999999999996,2.303568266636228,2.436629015691442,3.385852746672763,Nov,Mar
food,hyb_50,0.8833333333333333,0.8,0.19999999999999996,2.200948997952014,1.998750252670058,3.0914456617841553,Nov,Feb
exports,pool,0.9333333333333333,0.7,0.30000000000000004,10.1680765413531,1.0101718485657691,16.335938233695405,Jan,Dec
exports,norm,0.9166666666666666,0.7,0.30000000000000004,10.419913410499849,2.0725588352053874,16.87958324433686,Apr,Oct
exports,strat,0.8666666666666667,0.7,0.30000000000000004,8.494788857199604,2.29839244307682,16.90835383912759,Apr,Sep
exports,pool_f,0.925,0.7,0.30000000000000004,10.791553997736715,1.0073910379393254,16.617624040329932,Jan,Dec
exports,norm_f,0.925,0.7,0.30000000000000004,10.903556236001531,2.073778212887779,16.364291427019488,Apr,Oct
exports,strat_f,0.95,0.9,0.09999999999999998,16.579649394872728,3.539450469504081,20.573151484295476,Jul,Sep
exports,hyb_cv,0.95,0.9,0.09999999999999998,13.630117297672296,2.6566214434678703,17.66412738167886,Apr,Oct
exports,hyb_50,0.9583333333333334,0.9,0.09999999999999998,13.741602815437128,2.4430573897058876,18.09641842076091,Jul,Oct
