application,bhat,p_bhat,bhat_norm,p_bhat_norm,Ts,n_perm
food,0.37955019707859955,0.042,0.4280083468583352,0.052,19,999
exports,0.30681740322028095,0.011,0.3236039739636862,0.008,35,999
