date,y,lo_pool,hi_pool,covered_pool,lo_strat,hi_strat,covered_strat
2015-01-01,2.7619129398426217,-1.493124017396461,9.189056072149922,True,1.9120772203134764,10.401211905525061,True
2015-02-01,0.17320306198092525,-4.055981506274419,6.6261985832719645,True,-3.306010949736368,5.8927034386492085,True
2015-03-01,-2.2753825762029876,-8.226016187878525,2.4561639016678596,True,-9.18375921305411,0.9551737681646812,True
2015-04-01,-0.012646221958047132,-7.511261841231104,3.17091824831528,True,-10.393121774011318,5.060686777369381,True
2015-05-01,-7.114517971795853,-10.56583689711575,0.11634319243063374,True,-10.850971919598155,-1.0823156172495771,True
2015-06-01,-4.031854531697856,-8.32399540277084,2.358184686775542,True,-7.152424113468779,1.8500406917301424,True
2015-07-01,-3.364319593789386,-6.035987358019247,4.646192731527137,True,-5.805959104416443,3.0375401370699655,True
2015-08-01,3.4208566977688766,-3.1109740491463898,7.571206040399994,True,-0.6297312496580489,8.036932323745301,True
2015-09-01,1.1799546931155032,-2.4530905836389945,8.13520469824272,True,1.2424901871127156,7.380165358027764,False
2015-10-01,6.35692622826934,0.019584380985476102,10.607879662867191,True,1.5043902907325295,8.71807753735205,True
2015-11-01,2.0750323041224967,-2.081965372536197,8.435537453455128,True,0.4252464969392573,9.541095023926694,True
2015-12-01,0.7799055065493573,-3.8054406288598566,6.712062197131468,True,-2.1855749544718908,4.46742521043223,True
2016-01-01,-1.1657084542212865,-2.149354740030181,8.368148085961144,True,1.4834096856092027,9.447965698035063,False
2016-02-01,-0.6074332085965676,-4.452205784584838,6.002676705055891,True,-3.842217201991291,5.356497186394285,True
2016-03-01,1.083043077436959,-5.080055858266594,5.374826631374136,True,-6.177780857386683,3.961152123832108,True
2016-04-01,3.1307782967190807,-6.839476306832034,3.615406182808696,True,-9.861318213556752,5.592490337823947,True
2016-05-01,-8.653694545136686,-10.829032440596343,-0.374149950955613,True,-11.254149437023251,-1.4854931346746731,True
2016-06-01,-7.468148923678865,-7.2657263321636325,3.189156157477097,False,-6.2341370168060735,2.768327788392848,False
2016-07-01,-2.394085084153416,-5.06913459889945,5.385747890741279,True,-4.97908831924115,3.8644109222452587,True
2016-08-01,0.9526716886531644,-2.8775509848955183,7.639951841095806,True,-0.5490228974076117,8.117640675995737,True
2016-09-01,3.608188906105783,-1.109206654156008,9.408296171835318,True,2.4234370431087267,8.604386657924456,True
2016-10-01,0.470454927152806,-1.1297328573357035,9.387769968655622,True,1.7595507773561891,8.30561528469088,False
2016-11-01,4.232846837792069,-0.6570254779652789,9.860477348026045,True,1.5908913568843501,10.503957878150565,True
2016-12-01,2.570628057630042,-2.500865196040489,7.9540172936002405,True,-0.8682667835965923,5.784733381307529,True
2017-01-01,3.2935543562310126,-3.9506395413927065,6.504242948248023,True,-0.6819364068033904,7.806943168422739,True
2017-02-01,-1.2158990827245328,-5.662754515212949,4.740595707750677,True,-3.8290183734875622,4.122735097508825,True
2017-03-01,3.5916698455701717,-3.6731965090650567,6.679976916161152,True,-4.981389900058139,5.157543081160652,True
2017-04-01,-3.4226300809831476,-5.177430106911155,5.175743318315054,True,-3.9653656378828055,10.402189829730931,True
2017-05-01,-6.01050738115022,-9.230194998060492,1.1229784271657168,True,-9.865780386360395,-0.09712408401181616,True
2017-06-01,-3.3387867694179514,-9.289757267568477,1.0634161576577315,True,-10.553388317612482,-1.0602398163857334,True
2017-07-01,-5.196924919942373,-8.206234686561787,2.1469387386644216,True,-8.32665679877648,0.5168424427099283,True
2017-08-01,0.9570882090937952,-2.334269481441828,8.01890394378438,True,-0.20347704777098397,8.463186525632366,True
2017-09-01,5.7265897603802856,-2.714236069175339,7.63893735605087,True,0.6206719742723332,6.801621589088063,True
2017-10-01,2.6901233956438935,-4.651247624330996,5.7019258008952125,True,-3.6585940628871523,3.7720655007104718,True
2017-11-01,2.4595834467491233,-1.5995697682265435,8.753603656999665,True,0.450611412806023,9.363677934072237,True
2017-12-01,1.707406973280904,-1.9442223934599001,8.408951031766309,True,-0.5220923728889968,6.130907792015124,True
2018-01-01,-0.10504202646518758,-2.790793145751645,7.562380279474564,True,0.26744159696467795,8.756321172190807,False
2018-02-01,-0.5268716086826609,-3.234345336729188,7.118828088497021,True,-1.5878642286194449,6.363889242376942,True
2018-03-01,3.8092440662541383,-3.192177390231392,7.160996034994817,True,-4.500370781224475,5.6385621999943165,True
2018-04-01,-0.2418380864281638,-8.666680456191477,1.6777213503347856,True,-7.9675716044542995,5.525287206315408,True
2018-05-01,-5.62218140779371,-9.45801140851695,0.8863903980093126,True,-9.826055472656254,-0.4882849628262935,True
2018-06-01,-7.456434688678088,-7.775131942269621,2.569269864256642,True,-8.89338508676791,0.5997634144588386,True
2018-07-01,-2.024717053532985,-7.383366328565327,2.961035477960937,True,-7.138307242218334,1.04362190410124,True
2018-08-01,2.1698549599976773,-3.9314166257598013,6.412985180766462,True,-1.6552462865432416,7.011417286860109,True
2018-09-01,1.9532431971759197,-1.692225531887062,8.652176274639201,True,1.7880604171063257,7.969010031922055,True
2018-10-01,5.533149595830796,-2.153197613263117,8.191204193263147,True,-1.0151661462735575,6.4154934173240665,True
2018-11-01,1.9060890304270808,-3.763646445298418,6.580755361227845,True,-1.568087358720136,7.344979162546078,True
2018-12-01,2.722053849764802,-2.5022458262880036,7.842155980238259,True,-0.9347379001713847,5.718262264732736,True
2019-01-01,4.300386023855,-4.639036739079374,5.705365067446889,True,-1.8051104593162313,6.914122035919761,True
2019-02-01,1.0285385150328017,-6.668306795935461,3.5832439442158766,True,-5.0988716221865795,2.829123254606098,True
2019-03-01,-1.893809673719144,-4.02399872562109,6.227552014530247,True,-5.409238050975034,4.729694930243757,True
