T,season,month,high_vol,cov_sarima,cov_pooled,cov_strat,wid_sarima,wid_pooled,wid_strat
120,1,Jan,True,0.7445,0.765,0.7055000000000001,8.135082038350612,6.614416740776167,6.823092318313825
120,2,Feb,True,0.7069999999999999,0.7665000000000001,0.7225,8.135082038350612,6.570919282647477,6.934094176338183
120,3,Mar,False,0.805,0.915,0.7005000000000001,8.135082038350612,6.605950208581251,3.941339075660003
120,4,Apr,False,0.8545,0.9085000000000001,0.6919999999999998,8.135082038350612,6.643404974018538,3.9279473827723934
120,5,May,False,0.8785000000000001,0.9175,0.7025,8.135082038350612,6.641173900622919,4.000521050922135
120,6,Jun,False,0.889,0.9259999999999999,0.7025,8.135082038350612,6.642508469160398,3.881963250051139
120,7,Jul,False,0.899,0.9225,0.69,8.135082038350612,6.646019691490592,3.8122760542209617
120,8,Aug,True,0.7219999999999999,0.7545000000000001,0.71,8.135082038350612,6.611902938824842,6.863952869566663
120,9,Sep,True,0.6885000000000001,0.745,0.7184999999999999,8.135082038350612,6.569559158399853,7.019990569885416
120,10,Oct,False,0.8125,0.9130000000000001,0.7004999999999998,8.135082038350612,6.6046578758123395,4.082281614147568
120,11,Nov,False,0.8600000000000001,0.9225,0.7090000000000001,8.135082038350612,6.648395122108687,3.9476131502500063
120,12,Dec,False,0.9035000000000001,0.9275,0.68,8.135082038350612,6.649739098881798,3.7762623251570364
240,1,Jan,True,0.701,0.768,0.7875,8.129191772865804,6.4596967436477986,7.652424509825116
240,2,Feb,True,0.6785,0.782,0.8005000000000001,8.129191772865804,6.438056035324239,7.5915963762409975
240,3,Mar,False,0.7955000000000001,0.927,0.7870000000000001,8.129191772865804,6.460498640782247,4.1235630282418825
240,4,Apr,False,0.845,0.93,0.7875,8.129191772865804,6.478652000985364,4.138457155651198
240,5,May,False,0.89,0.9310000000000003,0.7915000000000001,8.129191772865804,6.478814662203056,4.2645758946158825
240,6,Jun,False,0.877,0.9365000000000001,0.7755000000000001,8.129191772865804,6.480320552026625,4.097480548343031
240,7,Jul,False,0.8955000000000001,0.9325,0.7830000000000001,8.129191772865804,6.482119995878161,4.0837357096731095
240,8,Aug,True,0.7219999999999999,0.7745000000000002,0.7995,8.129191772865804,6.462318876325707,7.601913361373545
240,9,Sep,True,0.674,0.7645000000000001,0.7985000000000001,8.129191772865804,6.4412592742475985,7.85240422635439
240,10,Oct,False,0.7835000000000001,0.9280000000000002,0.7709999999999999,8.129191772865804,6.462225136510285,4.127084136897615
240,11,Nov,False,0.8595,0.9395,0.779,8.129191772865804,6.482515509474288,4.046326784514738
240,12,Dec,False,0.8885,0.9440000000000001,0.7675,8.129191772865804,6.483745990577365,3.9928626935667517
480,1,Jan,True,0.7144999999999999,0.7845000000000002,0.8290000000000001,8.062375278101104,6.3827067706583485,8.202674645217769
480,2,Feb,True,0.6735,0.7905000000000001,0.8475000000000001,8.062375278101104,6.372057646861643,8.14517472695878
480,3,Mar,False,0.8180000000000001,0.9545000000000001,0.8445000000000001,8.062375278101104,6.383157605609958,4.269459522220429
480,4,Apr,False,0.8745,0.9460000000000001,0.8435000000000001,8.062375278101104,6.3925403458016765,4.277119155413235
480,5,May,False,0.899,0.9470000000000002,0.8415,8.062375278101104,6.391475612766522,4.25286387094107
480,6,Jun,False,0.9010000000000002,0.945,0.8470000000000002,8.062375278101104,6.391491726039401,4.203930087160285
480,7,Jul,False,0.9045000000000001,0.9395000000000002,0.8420000000000001,8.062375278101104,6.391189814425935,4.258758455975611
480,8,Aug,True,0.7440000000000001,0.7945000000000002,0.8455000000000001,8.062375278101104,6.3807349125595465,8.150207552917784
480,9,Sep,True,0.6619999999999999,0.7759999999999999,0.8440000000000001,8.062375278101104,6.370183754798415,8.248319927001921
480,10,Oct,False,0.7819999999999999,0.9520000000000001,0.8380000000000001,8.062375278101104,6.37966016742148,4.231070536290719
480,11,Nov,False,0.857,0.9440000000000001,0.8320000000000002,8.062375278101104,6.390491178666517,4.19804635273064
480,12,Dec,False,0.8830000000000001,0.9384999999999999,0.8325000000000001,8.062375278101104,6.389578175714913,4.192110783220636
